Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,price,Season
2004,Mangalore,1279,2903.1,27.0,Alluvial,Drip,2570.0,57.0,Coconut,200000,Kharif
2004,Mangalore,13283,2903.1,27.0,Alluvial,Drip,27170.0,57.5,Coconut,4847,Kharif
2004,Mangalore,52119,2903.1,27.0,Alluvial,Drip,114744.0,57.0,Coconut,51239,Kharif
2004,Mangalore,725,2996.6,27.0,Alluvial,Drip,1402.0,55.0,Coconut,216396,Kharif
2004,Mangalore,12885,2996.6,27.0,Alluvial,Drip,23456.0,56.0,Coconut,2644,Kharif
2004,Mangalore,51179,2996.6,27.0,Alluvial,Drip,107809.0,54.0,Coconut,44235,Kharif
2004,Mangalore,468,3522.8,27.2,Alluvial,Drip,1132.0,58.0,Coconut,203317,Kharif
2004,Mangalore,11841,3522.8,27.2,Alluvial,Drip,23960.0,58.0,Coconut,2134,Kharif
2004,Mangalore,50975,3522.8,27.2,Alluvial,Drip,126487.0,59.0,Coconut,45186,Kharif
2004,Mangalore,206,3729.8,27.0,Alluvial,Drip,804.0,50.0,Coconut,238542,Kharif
2004,Mangalore,10922,3729.8,27.0,Alluvial,Drip,30362.0,54.0,Coconut,1516,Kharif
2004,Mangalore,51390,3729.8,27.0,Alluvial,Drip,124492.0,53.0,Coconut,57259,Kharif
2004,Mangalore,177,2746.2,27.0,Alluvial,Drip,792.0,52.0,Coconut,234779,Kharif
2004,Mangalore,10723,2746.2,27.0,Alluvial,Drip,34153.0,51.0,Coconut,1493,Kharif
2004,Kodagu,51709,2746.2,27.0,Alluvial,Drip,132551.0,57.0,Coconut,64409,Kharif
2004,Kodagu,146,3360.0,27.2,Alluvial,Drip,338.0,57.0,Coconut,249978,Kharif
2004,Kodagu,10910,3360.0,27.2,Alluvial,Drip,22966.0,60.0,Coconut,637,Kharif
2004,Kodagu,51355,3360.0,27.2,Alluvial,Drip,131763.0,57.0,Coconut,43311,Kharif
2004,Kodagu,160,3605.4,27.1,Alluvial,Drip,404.0,57.0,Coconut,24848,Kharif
2004,Kodagu,10912,3605.4,27.1,Alluvial,Drip,24184.0,54.0,Coconut,761,Kharif
2004,Kodagu,51353,3605.4,27.1,Alluvial,Drip,124387.0,54.5,Coconut,45608,Kharif
2004,Kodagu,142,3512.4,26.8,Alluvial,Drip,343.0,56.6,Coconut,234581,Kharif
2004,Kodagu,10505,3512.4,26.8,Alluvial,Drip,23099.0,55.5,Coconut,646,Kharif
2004,Kodagu,51040,3512.4,26.8,Alluvial,Drip,117825.84,58.5,Coconut,43562,Kharif
2004,Kodagu,154,3296.0,37.0,Alluvial,Drip,336.0,59.5,Coconut,200000,Kharif
2004,Kodagu,10318,3296.0,37.0,Alluvial,Drip,22594.0,55.0,Coconut,4847,Kharif
2004,Kodagu,48083,3296.0,37.0,Alluvial,Drip,116481.07,53.0,Coconut,51239,Kharif
2004,Kasaragodu,143,3550.0,38.0,Alluvial,Drip,316.0,53.5,Coconut,216396,Kharif
2004,Kasaragodu,9283,3550.0,38.0,Alluvial,Drip,21400.0,52.5,Coconut,2644,Kharif
2004,Kasaragodu,47200,3550.0,38.0,Alluvial,Drip,122102.0,56.0,Coconut,44235,Kharif
2004,Kasaragodu,158,3654.0,39.0,Alluvial,Drip,382.0,57.0,Coconut,203317,Kharif
2004,Kasaragodu,8982,3654.0,39.0,Alluvial,Drip,19578.0,57.5,Coconut,2134,Kharif
2004,Kasaragodu,46990,3654.0,39.0,Alluvial,Drip,121037.0,57.0,Coconut,45186,Kharif
2004,Kasaragodu,103,233.0,40.0,Alluvial,Drip,231.0,55.0,Coconut,238542,Kharif
2004,Kasaragodu,8239,233.0,40.0,Alluvial,Drip,18951.0,56.0,Coconut,1516,Kharif
2004,Kasaragodu,44563,233.0,40.0,Alluvial,Drip,110579.0,54.0,Coconut,57259,Kharif
2004,Kasaragodu,96,234.0,41.0,Alluvial,Drip,221.0,58.0,Coconut,234779,Kharif
2004,Kasaragodu,6949,234.0,41.0,Alluvial,Drip,15362.0,58.0,Coconut,1493,Kharif
2004,Kasaragodu,44663,234.0,41.0,Alluvial,Drip,120373.0,59.0,Coconut,64409,Kharif
2004,Kasaragodu,110,3105.0,42.0,Red,Drip,291.0,50.0,Coconut,249978,Kharif
2004,Kasaragodu,6824,3105.0,42.0,Red,Drip,17231.0,54.0,Coconut,637,Kharif
2004,Kasaragodu,43013,3105.0,42.0,Red,Drip,119359.0,53.0,Coconut,43311,Kharif
2004,Raichur,95,236.0,43.0,Red,Drip,283.0,52.0,Coconut,24848,Kharif
2004,Raichur,6441,236.0,43.0,Red,Drip,17690.0,51.0,Coconut,761,Kharif
2004,Raichur,4012,2903.1,27.0,Red,Basin,7157.0,57.0,Coconut,45608,Kharif
2004,Raichur,4877,2903.1,27.0,Red,Basin,8700.0,57.0,Coconut,234581,Kharif
2004,Raichur,4930,2903.1,27.0,Red,Basin,41266.0,60.0,Coconut,646,Rabi
2004,Raichur,4954,2996.6,27.0,Red,Basin,8838.0,57.0,Coconut,43562,Rabi
2004,Raichur,5019,2996.6,27.0,Red,Basin,8954.0,57.0,Coconut,200000,Rabi
2004,Raichur,5127,2996.6,27.0,Red,Basin,42915.0,54.0,Coconut,4847,Rabi
2004,Raichur,5174,3522.8,27.2,Red,Basin,9230.0,54.5,Coconut,51239,Rabi
2004,Raichur,5294,3522.8,27.2,Red,Basin,44313.0,56.6,Coconut,216396,Rabi
2004,Raichur,5474,3522.8,27.2,Red,Basin,45820.0,55.5,Coconut,2644,Rabi
2004,Raichur,5864,3729.8,27.0,Red,Basin,49084.0,58.5,Coconut,44235,Rabi
2004,Raichur,7028,3729.8,27.0,Red,Basin,86311.0,59.5,Coconut,203317,Rabi
2004,Raichur,7403,3729.8,27.0,Red,Basin,57642.0,55.0,Coconut,2134,Rabi
2004,Raichur,7501,2746.2,27.0,Red,Basin,58405.0,53.0,Coconut,45186,Rabi
2004,Raichur,7714,2746.2,27.0,Red,Basin,60751.0,53.5,Coconut,238542,Rabi
2004,Raichur,7856,2746.2,27.0,Red,Basin,109506.0,52.5,Coconut,1516,Rabi
2004,Raichur,32,3360.0,27.2,Red,Basin,114.0,56.0,Coconut,57259,Rabi
2004,Raichur,1,3360.0,27.2,Red,Basin,3.0,57.0,Coconut,234779,Rabi
2004,Raichur,30,3360.0,27.2,Red,Basin,95.0,57.5,Coconut,1493,Rabi
2004,Gulbarga,6,3605.4,27.1,Red,Basin,19.0,57.0,Coconut,64409,Rabi
2004,Gulbarga,15,3605.4,27.1,Red,Basin,54.0,55.0,Coconut,249978,Rabi
